provinsi,tanggal,harga_prediksi,stok_beras_ton,jumlah_bencana,jumlah_curah_hujan,cluster_kmeans,anomaly_isolation_forest
SUMATERA BARAT,2026-04-01,17398.91,98541.11518,5,580.5,0,1
SUMATERA BARAT,2026-05-01,16834.13,58321.9091,0,336.5,0,1
SUMATERA BARAT,2026-06-01,17113.727,62520.57054,1,251.8,0,1
SUMATERA SELATAN,2025-07-01,14917.048,130317.3199,4,58.7,0,1
SUMATERA SELATAN,2025-08-01,14785.636,82918.2326,37,131.8,0,1
SUMATERA SELATAN,2025-09-01,14644.956,99501.87911,77,16.6,2,1
SUMATERA SELATAN,2025-10-01,14684.174,165836.4652,51,196.2,2,1
SUMATERA SELATAN,2025-11-01,14694.109,165836.4652,27,147.6,0,1
SUMATERA SELATAN,2025-12-01,14698.818,66334.58608,13,303.5,0,1
SUMATERA SELATAN,2026-01-01,14732.649,66334.58608,2,363.5,0,1
SUMATERA SELATAN,2026-02-01,14735.084,164566.7655,13,224.8,0,1
SUMATERA SELATAN,2026-03-01,15137.765,276537.3978,12,343.9,0,1
SUMATERA SELATAN,2026-04-01,15188.9375,302334.8664,23,533.3,0,1
SUMATERA SELATAN,2026-05-01,15055.89,246939.9322,4,387.6,0,1
SUMATERA SELATAN,2026-06-01,15124.569,119974.5319,4,175.2,0,1
SUMATERA UTARA,2025-07-01,14115.924,136520.2079,17,149.1,0,1
SUMATERA UTARA,2025-08-01,14151.129,62838.95203,78,63.1,2,1
SUMATERA UTARA,2025-09-01,14199.08,75406.74244,26,272.6,0,1
SUMATERA UTARA,2025-10-01,14154.866,125677.9041,29,451.2,0,1
SUMATERA UTARA,2025-11-01,14175.5,125677.9041,60,388.0,2,1
SUMATERA UTARA,2025-12-01,14128.794,50271.16163,32,337.7,0,1
SUMATERA UTARA,2026-01-01,14122.644,50271.16163,15,168.8,0,1
SUMATERA UTARA,2026-02-01,14099.357,111390.5626,20,324.9,0,1
SUMATERA UTARA,2026-03-01,14071.926,230841.713,10,158.8,0,1
SUMATERA UTARA,2026-04-01,14075.651,192846.964,17,67.7,0,1
SUMATERA UTARA,2026-05-01,14071.386,104902.666,11,189.3,0,1
SUMATERA UTARA,2026-06-01,14121.071,119498.5886,18,180.6,0,1
